address,size,type,symbol,name
0x10003590,0x7f,library,?FormatV@?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@QAEXPBDPAD@Z,
0x100036f0,0x69,library,?AddBackslash@?$CPathT@V?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@@ATL@@QAEXXZ,
0x10003760,0x5f,library,?StripPath@?$CPathT@V?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@@ATL@@QAEXXZ,
0x100039c0,0x80,library,?Concatenate@?$CSimpleStringT@D$0A@@ATL@@KAXAAV12@PBDH1H@Z,
0x10004c60,0x99,library,?AtlCrtErrorCheck@ATL@@YAHH@Z,
0x10004d00,0x60,library,?Empty@?$CSimpleStringT@D$0A@@ATL@@QAEXXZ,
0x10004d60,0x8c,library,?SetString@?$CSimpleStringT@D$0A@@ATL@@QAEXPBDH@Z,
0x10004df0,0x69,library,?CloneData@?$CSimpleStringT@D$0A@@ATL@@CAPAUCStringData@2@PAU32@@Z,
0x10004e60,0xb,library,?ThrowMemoryException@?$CSimpleStringT@D$0A@@ATL@@KAXXZ,
0x10004e70,0x41,library,?ReleaseBuffer@?$CSimpleStringT@D$0A@@ATL@@QAEXH@Z,
0x10004ec0,0xaa,library,??0?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@QAE@PBD@Z,
0x10004f70,0x75,library,?AtlFindStringResourceInstance@ATL@@YAPAUHINSTANCE__@@IG@Z,
0x10004ff0,0x68,library,?_AtlGetStringResourceImage@ATL@@YAPBUATLSTRINGRESOURCEIMAGE@1@PAUHINSTANCE__@@PAUHRSRC__@@I@Z,
0x10005060,0xc6,library,?LoadStringA@?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@QAEHPAUHINSTANCE__@@I@Z,
0x10005130,0x7a,library,?Fork@?$CSimpleStringT@D$0A@@ATL@@AAEXH@Z,
0x100051b0,0x18,library,?AtlThrowImpl@ATL@@YGXJ@Z,
0x100051d0,0x4c,library,?PrepareWrite2@?$CSimpleStringT@D$0A@@ATL@@AAEXH@Z,
0x10005220,0x37,library,?Reallocate@?$CSimpleStringT@D$0A@@ATL@@AAEXH@Z,
0x10005260,0x24,library,??1?$CAtlSafeAllocBufferManager@VCCRTAllocator@ATL@@@_ATL_SAFE_ALLOCA_IMPL@ATL@@QAE@XZ,
0x10005290,0x22,library,??$AtlAdd@I@ATL@@YAJPAIII@Z,
0x100052c0,0x8f,library,??0?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@QAE@PB_W@Z,
0x10005350,0x9a,library,??4?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@QAEAAV01@PB_W@Z,
0x100053f0,0x3b,library,??MCFileTime@ATL@@QBE_NV01@@Z,
0x10005430,0x61,library,?RemoveFileSpec@?$CPathT@V?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@@ATL@@QAEHXZ,
0x100054a0,0x14,library,?Format@?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@QAAXPBDZZ,
0x100054c0,0x8e,library,?Append@?$CPathT@V?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@@ATL@@QAEHPBD@Z,
0x10005550,0x1f,library,??1?$CPathT@V?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@@ATL@@QAE@XZ,
0x100055d0,0x20,library,??$AtlMultiply@I@ATL@@YAJPAIII@Z,
0x100055f0,0x1b,library,?AtlThrowLastWin32@ATL@@YGXXZ,
0x10005610,0xa,library,??1CComBSTR@ATL@@QAE@XZ,
0x10005620,0x11,library,?Allocate@CCRTHeap@ATL@@UAEPAXI@Z,
0x10005640,0xf,library,?Free@CCRTHeap@ATL@@UAEXPAX@Z,
0x10005650,0x16,library,?Reallocate@CCRTHeap@ATL@@UAEPAXPAXI@Z,
0x10005670,0x11,library,?GetSize@CCRTHeap@ATL@@UAEIPAX@Z,
0x10005690,0x12,library,??1?$CA2WEX@$0IA@@ATL@@QAE@XZ,
0x100056b0,0xc2,library,?Init@?$CW2AEX@$0IA@@ATL@@AAEXPB_WI@Z,
0x10005780,0x93,library,??$AtlConvAllocMemory@D@ATL@@YAXPAPADHPADH@Z,
0x1000dfe0,0x90,library,??1?$CSoapHandler@VCWebService@Roblox@@@ATL@@UAE@XZ,
0x1000e180,0x16d,library,??1?$CIsapiExtension@V?$CThreadPool@VCIsapiWorker@ATL@@VCRTThreadTraits@2@VWin32WaitTraits@2@@ATL@@VCNoRequestStats@2@UCDefaultErrorProvider@2@VCRTThreadTraits@2@VCNoStatClass@2@V62@@ATL@@QAE@XZ,
0x1000e2f0,0x41,library,??1?$CDllCache@V?$CWorkerThread@VCRTThreadTraits@ATL@@@ATL@@VCDllCachePeer@2@@ATL@@QAE@XZ,
0x10010100,0xaa,library,??0?$CSoapHandler@VCWebService@Roblox@@@ATL@@QAE@XZ,
0x100101b0,0x11d,library,?SoapFault@?$CSoapHandler@VCWebService@Roblox@@@ATL@@UAEJW4SOAP_ERROR_CODE@2@PB_WH@Z,
0x100102d0,0x103,library,?InitializeHandler@?$CSoapHandler@VCWebService@Roblox@@@ATL@@UAEKPAUAtlServerRequest@2@PAUIServiceProvider@@@Z,
0x100103e0,0x325,library,?HandleRequest@?$CSoapHandler@VCWebService@Roblox@@@ATL@@UAEKPAUAtlServerRequest@2@PAUIServiceProvider@@@Z,
0x10010710,0x76,library,?GenerateAppError@?$CSoapHandler@VCWebService@Roblox@@@ATL@@UAEJPAUIWriteStream@2@J@Z,
0x10010790,0x35,library,?UninitializeHandler@?$CSoapHandler@VCWebService@Roblox@@@ATL@@UAEXXZ,
0x100107d0,0x2e,library,?GetFlags@?$IRequestHandlerImpl@VCWebService@Roblox@@@ATL@@UAEKPAK@Z,
0x10010800,0x6a,library,?InitializeHandler@?$IRequestHandlerImpl@V?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@@ATL@@UAEKPAUAtlServerRequest@2@PAUIServiceProvider@@@Z,
0x10010870,0x25,library,?CreateRequestHandler@?$IRequestHandlerImpl@VCWebService@Roblox@@@ATL@@SAHPAUIIsapiExtension@2@PAPAUIUnknown@@@Z,
0x10010e20,0x281,library,?InitializeHandler@?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@UAEKPAUAtlServerRequest@2@PAUIServiceProvider@@@Z,
0x100110b0,0x6,library,?GetHandlerName@?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@UAEPBDXZ,
0x100110c0,0x2e,library,?GetFlags@?$IRequestHandlerImpl@V?$CSDLGenerator@VCWebService@Roblox@@$1?s_szClassNameWSDL34@@3QBDB@ATL@@@ATL@@UAEKPAK@Z,
