address,size,type,symbol,name
0x10001000,0x34,library,??1shared_count@detail@boost@@QAE@XZ,
0x10001040,0x22,library,??0thread_exception@boost@@QAE@ABV01@@Z,
0x10001720,0x16,library,??1?$scoped_lock@Vrecursive_mutex@boost@@@thread@detail@boost@@QAE@XZ,
0x100017d0,0x28,library,??0lock_error@boost@@QAE@ABV01@@Z,
0x10001c20,0x75,library,??0bad_function_call@boost@@QAE@XZ,
0x10001ca0,0x1b,library,??1bad_function_call@boost@@UAE@XZ,
0x10001cd0,0xb0,library,??0tss@detail@boost@@QAE@PAV?$function1@XPAXV?$allocator@Vfunction_base@boost@@@std@@@2@@Z,
0x10001d80,0x28,library,??0thread_resource_error@boost@@QAE@ABV01@@Z,
0x10001db0,0x1e,library,??_Elock_error@boost@@UAEPAXI@Z,
0x100037c0,0xa,library,??1?$scoped_ptr@VRobloxCrashReporter@@@boost@@QAE@XZ,
0x10003890,0x87,library,??0?$thread_specific_ptr@VThreadLogManager@@@boost@@QAE@XZ,
0x10003920,0x7c,library,??1?$thread_specific_ptr@VThreadLogManager@@@boost@@QAE@XZ,
0x100039a0,0x1f,library,??1?$tss_adapter@VThreadLogManager@@@detail@boost@@QAE@XZ,
0x10003bb0,0x11,library,?cleanup@?$thread_specific_ptr@VThreadLogManager@@@boost@@CAXPAVThreadLogManager@@@Z,
0x10004050,0xa0,library,??$?0U?$tss_adapter@VThreadLogManager@@@detail@boost@@@?$function1@XPAXV?$allocator@Vfunction_base@boost@@@std@@@boost@@QAE@U?$tss_adapter@VThreadLogManager@@@detail@1@H@Z,
0x10004260,0xf4,library,??$assign_to@U?$tss_adapter@VThreadLogManager@@@detail@boost@@@?$function1@XPAXV?$allocator@Vfunction_base@boost@@@std@@@boost@@AAEXU?$tss_adapter@VThreadLogManager@@@detail@1@@Z,
0x10004460,0x54,library,??$assign_to@P6AXPAVThreadLogManager@@@Z@?$function1@XPAVThreadLogManager@@V?$allocator@Vfunction_base@boost@@@std@@@boost@@AAEXP6AXPAVThreadLogManager@@@Z@Z,
0x100044c0,0xad,library,??$?0U?$tss_adapter@VThreadLogManager@@@detail@boost@@@?$basic_vtable1@XPAXV?$allocator@Vfunction_base@boost@@@std@@@function@detail@boost@@QAE@U?$tss_adapter@VThreadLogManager@@@23@@Z,
0x10004570,0xa5,library,??$assign_to@U?$tss_adapter@VThreadLogManager@@@detail@boost@@@?$basic_vtable1@XPAXV?$allocator@Vfunction_base@boost@@@std@@@function@detail@boost@@QAE_NU?$tss_adapter@VThreadLogManager@@@23@AATfunction_buffer@123@@Z,
0x10004700,0xc3,library,??$init@U?$tss_adapter@VThreadLogManager@@@detail@boost@@@?$basic_vtable1@XPAXV?$allocator@Vfunction_base@boost@@@std@@@function@detail@boost@@AAEXU?$tss_adapter@VThreadLogManager@@@23@@Z,
0x100047d0,0xee,library,??$assign_to@U?$tss_adapter@VThreadLogManager@@@detail@boost@@@?$basic_vtable1@XPAXV?$allocator@Vfunction_base@boost@@@std@@@function@detail@boost@@AAE_NU?$tss_adapter@VThreadLogManager@@@23@AATfunction_buffer@123@Ufunction_obj_tag@123@@Z,
