address,size,type,symbol,name
0x10043b20,0x87,library,,
0x10109bc0,0x4b,library,,
0x101e614c,0x5,library,??_U@YAPAXI@Z,
0x101e80e6,0xf,library,@__security_check_cookie@4,
0x101e8102,0x49,library,??_Etype_info@@UAEPAXI@Z,
0x101e8158,0xa5,library,__onexit,
0x101e81fd,0x12,library,_atexit,
0x101e827a,0x63,library,??_M@YGXPAXIHP6EX0@Z@Z,
0x101e8349,0x1c3,library,__CRT_INIT@12,
0x101e8622,0x21,library,__DllMainCRTStartup@12,
0x101e8670,0x2c,library,__alloca_probe_16,
0x101e86a0,0x34,library,__allmul,
0x101e86e0,0x21,library,__allshr,
0x101e8710,0x2b,library,__alloca_probe,
0x101e8750,0xb2,library,__allrem,
0x101e8810,0xaa,library,__alldiv,
0x101e88c0,0xdf,library,__alldvrm,
0x101e89a0,0x9,library,__ftol2_sse,
0x101e89a9,0x13,library,__ftol2_pentium4,
0x101e89bc,0x1a,library,__ftol2_sse_excpt,
0x101e89d6,0x75,library,__ftol2,
0x101e8a4b,0xc,library,___clean_type_info_names,
0x101e8a5e,0x65,library,??_L@YGXPAXIHP6EX0@Z1@Z,
0x101e8ad0,0x5,library,??_U@YAPAXIABUnothrow_t@std@@@Z,
0x101e8b2a,0x23,library,__except_handler4,
0x101e8bb8,0x45,library,__SEH_prolog4,
0x101e8bfd,0x14,library,__SEH_epilog4,
0x101e8c20,0x95,library,__aulldvrm,
0x101e8cb5,0x104,library,___report_gsfailure,
0x101e8dd2,0x24,library,__RTC_Initialize,
0x101e8df6,0x24,library,__RTC_Terminate,
0x101e8e20,0x29,library,__ValidateImageBase,
0x101e8e50,0x42,library,__FindPESection,
0x101e8ea0,0xbb,library,__IsNonwritableInCurrentImage,
0x101e8f74,0x94,library,___security_init_cookie,
0x101e9058,0x60,library,__get_sse2_info,
0x101e90b8,0xd,library,___sse2_available_init,
0x101e90cc,0x2f,library,??2@YAPAXIABUnothrow_t@std@@@Z,
0x101e910e,0x36,library,__EH_prolog3_catch,
0x101e9144,0x14,library,__EH_epilog3,
0x101fc1f0,0x1f,library,__aullshr,
0x101fc210,0x1f,library,__allshl,
0x10011110,,library,??3@YAXPAX0@Z,
0x101573d0,,library,_zcfree,
0x101bbdc0,,library,_ceill,
0x101d32e0,,library,_crc32@12,
0x101d3380,,library,_deflate@8,
0x101d4a40,,library,_deflateReset@4,
0x101d4ad0,,library,_deflateInit2_@32,
0x101d4f50,,library,_inflate@8,
0x101e3520,,library,_adler32@12,
0x101e49f0,,library,__tr_init,
0x101e4dc0,,library,__tr_stored_block,
0x101e4e60,,library,__tr_align,
0x101e5050,,library,__tr_flush_block,
0x101e5740,,library,_inflate_table,
0x101e80da,,library,??3@YAXPAX@Z,
0x101e80f6,,library,??2@YAPAXI@Z,
0x101e8152,,library,__purecall,
0x101e8210,,library,_free,
0x101e8216,,library,??_V@YAXPAX@Z,
0x101e82f0,,library,__get_errno,
0x101e82f6,,library,__set_errno,
0x101e8650,,library,___CxxFrameHandler3,
0x101e8656,,library,__CxxThrowException@8,
0x101e8710,,library,__chkstk,
0x101e873c,,library,_memset,
0x101e8ac4,,library,_floor,
0x101e8aca,,library,_memcpy,
0x101e8ae8,,library,__CIasin,
0x101e8aee,,library,__CIacos,
0x101e8afa,,library,__CIpow,
0x101e8b00,,library,__CIsqrt,
0x101e8b06,,library,__CIlog,
0x101e8b0c,,library,__CIatan2,
0x101e8b12,,library,__CIcos,
0x101e8b18,,library,__CIsin,
0x101e8dba,,library,__unlock,
0x101e8dc0,,library,___dllonexit,
0x101e8dc6,,library,__lock,
0x101e8f5c,,library,__initterm,
0x101e8f62,,library,__initterm_e,
0x101e8f68,,library,__amsg_exit,
0x101e8f6e,,library,___CppXcptFilter,
0x101e90c6,,library,___clean_type_info_names_internal,
0x101e90fc,,library,__except_handler4_common,
0x101e9102,,library,__crt_debugger_hook,
0x101e9108,,library,?_type_info_dtor_internal_method@type_info@@QAEXXZ,
0x101e9108,,library,??1type_info@@UAE@XZ,
0x101e9158,,library,_GetFileVersionInfoSizeA@8,
0x101e915e,,library,_GetFileVersionInfoA@16,
0x101e9164,,library,_VerQueryValueA@16,
0x101e614c,5,library,,operator new[]
0x101e81fd,18,library,,atexit
0x101e80e6,15,library,,__security_check_cookie
0x101e8710,,library,,_chkstk
