address,size,type,symbol,name
0x10005d10,0x25,library,?ReferenceCountedObject_zeroWeakPointers@ReferenceCountedObject@G3D@@QAEXXZ,
0x10005d70,0x17,library,??0GImage@G3D@@QAE@XZ,
0x10005d90,0x1e,library,??_EGImage@G3D@@UAEPAXI@Z,
0x10005db0,0x6b,library,??0Settings@GWindow@G3D@@QAE@XZ,
0x10005e20,0x6c,library,?setIcon@GWindow@G3D@@UAEXABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x10005e90,0x5,library,?pollEvent@GWindow@G3D@@UAE_NAATSDL_Event@@@Z,
0x10005ea0,0x38,library,?incInputCaptureCount@GWindow@G3D@@UAEXXZ,
0x10005ee0,0x38,library,?decInputCaptureCount@GWindow@G3D@@UAEXXZ,
0x10005f20,0x38,library,?incMouseHideCount@GWindow@G3D@@UAEXXZ,
0x10005f60,0x38,library,?decMouseHideCount@GWindow@G3D@@UAEXXZ,
0x10005fa0,0x29,library,?pushLoopBody@GWindow@G3D@@UAEXP6AXPAX@Z0@Z,
0x10005fd0,0xf4,library,?runMainLoop@GWindow@G3D@@UAEXXZ,
0x100060d0,0x32,library,??1GWindow@G3D@@UAE@XZ,
0x10006110,0x46,library,??_EGWindow@G3D@@UAEPAXI@Z,
0x10006160,0x7,library,??1Hashable@G3D@@UAE@XZ,
0x10006170,0x1f,library,??_EHashable@G3D@@UAEPAXI@Z,
0x10006190,0x9,library,??1Settings@GWindow@G3D@@QAE@XZ,
0x100061e0,0x56,library,??1TextureArgs@TextureManager@G3D@@UAE@XZ,
0x10006240,0x1e,library,??_ETextureArgs@TextureManager@G3D@@UAEPAXI@Z,
0x100069b0,0x92,library,??4Settings@GWindow@G3D@@QAEAAV012@ABV012@@Z,
0x10008060,0x34,library,??1?$ReferenceCountedPointer@VTexture@G3D@@@G3D@@QAE@XZ,
0x10008660,0x24,library,??_E?$Table@VTextureArgs@TextureManager@G3D@@V?$ReferenceCountedPointer@VTexture@G3D@@@3@@G3D@@UAEPAXI@Z,
0x10008770,0xa5,library,?append@?$Array@VLoopBody@GWindow@G3D@@@G3D@@QAEXABVLoopBody@GWindow@2@@Z,
0x10008820,0x5e,library,?freeMemory@?$Table@VTextureArgs@TextureManager@G3D@@V?$ReferenceCountedPointer@VTexture@G3D@@@3@@G3D@@AAEXXZ,
