address,type,symbol
0x1022ce68,global,?p_thread_callback@?A0x0b669db6@@3P6GXPAUHINSTANCE__@@KPAX@ZA
0x1022e280,global,?sInstance@RBX@@3QBDB
0x1022e928,global,?sRunService@RBX@@3QBDB
0x1022ed10,global,?sServiceProvider@RBX@@3QBDB
0x1022f298,global,?sSelection@RBX@@3QBDB
0x10231208,global,?sDataModel@RBX@@3QBDB
0x10235328,global,?INDEXBOX_FACE_TO_NORMAL@IndexBox@RBX@@2QAY02$$CBMA
0x10235370,global,?INDEXBOX_FACE_TO_VERTEX@IndexBox@RBX@@2QAY03$$CBHA
0x102353d0,global,?INDEXBOX_EDGE_TO_VERTEX_AND_NORMALS@IndexBox@RBX@@2QAY03$$CBHA
0x10235490,global,?INDEXBOX_FACE_EDGE_TO_NORMAL@IndexBox@RBX@@2QAY03$$CBHA
0x10236678,global,?sPVInstance@RBX@@3QBDB
0x10237828,global,?classLibrary@ObjectBridge@Lua@RBX@@0QBUluaL_Reg@@B
0x10237a38,global,?classLibrary@Color3Bridge@Lua@RBX@@0QBUluaL_Reg@@B
0x10237a48,global,?classLibrary@Vector3Bridge@Lua@RBX@@0QBUluaL_Reg@@B
0x10237a58,global,?classLibrary@BrickColorBridge@Lua@RBX@@0QBUluaL_Reg@@B
0x10237ac0,global,?classLibrary@CoordinateFrameBridge@Lua@RBX@@0QBUluaL_Reg@@B
0x10238010,global,?sDebugSettings@RBX@@3QBDB
0x102388a0,global,?sGlobalSettings@RBX@@3QBDB
0x10239a00,global,?sTeam@RBX@@3QBDB
0x1023a8a0,global,?sBackpackItem@RBX@@3QBDB
0x1023a8b0,global,?sHopperBin@RBX@@3QBDB
0x1023a8bc,global,?sStarterPackService@RBX@@3QBDB
0x1023a8c8,global,?sLegacyHopperService@RBX@@3QBDB
0x1023b968,global,?sTool@RBX@@3QBDB
0x1023c108,global,?sFlag@RBX@@3QBDB
0x1023c838,global,?sLocalBackpackItem@RBX@@3QBDB
0x1023c84c,global,?sLocalBackpack@RBX@@3QBDB
0x1023ce90,global,?sJointInstance@RBX@@3QBDB
0x1023cea0,global,?sAutoJoint@RBX@@3QBDB
0x1023ceac,global,?sSnap@RBX@@3QBDB
0x1023ceb4,global,?sWeld@RBX@@3QBDB
0x1023cebc,global,?sGlue@RBX@@3QBDB
0x1023cec4,global,?sRotate@RBX@@3QBDB
0x1023cecc,global,?sRotateP@RBX@@3QBDB
0x1023ced4,global,?sRotateV@RBX@@3QBDB
0x1023cedc,global,?sMotor@RBX@@3QBDB
0x1023e7b8,global,?sBackpack@RBX@@3QBDB
0x1023eab8,global,?sTeams@RBX@@3QBDB
0x1023ed40,global,?sAccoutrement@RBX@@3QBDB
0x1023ed50,global,?sHat@RBX@@3QBDB
0x1023f480,global,?sGameSettings@RBX@@3QBDB
0x1023f8c8,global,?sShirt@RBX@@3QBDB
0x1023f8d0,global,?sShirtGraphic@RBX@@3QBDB
0x1023f8e0,global,?sSkin@RBX@@3QBDB
0x1023f8e8,global,?sBodyColors@RBX@@3QBDB
0x102406d8,global,?sFeature@RBX@@3QBDB
0x102406e0,global,?sHole@RBX@@3QBDB
0x102406e8,global,?sMotorFeature@RBX@@3QBDB
0x102406f8,global,?sVelocityMotor@RBX@@3QBDB
0x10241368,global,?sFlagStandService@RBX@@3QBDB
0x10245748,global,?sSpawnerService@RBX@@3QBDB
0x10246cf8,global,?manualTurnSpeed@Running@RBX@@0MB
0x10246cfc,global,?autoTurnSpeed@Running@RBX@@0MB
0x10246d00,global,?kTurnP@Running@RBX@@0MB
0x10246d04,global,?kMoveP@Running@RBX@@0MB
0x10246d08,global,?kAltitudeP@Running@RBX@@0MB
0x10246d0c,global,?kAltitudeD@Running@RBX@@0MB
0x10246d10,global,?sRunning@RBX@@3QBDB
0x10246da8,global,?sFallingDown@RBX@@3QBDB
0x10246e50,global,?BLOCK_FACE_TO_VERTEX@Block@RBX@@0QAY03$$CBHA
0x10246eb0,global,?BLOCK_FACE_VERTEX_TO_EDGE@Block@RBX@@0QAY03$$CBHA
0x10246f30,global,?MAX_LEGO_JOINT_FORCES_THEORY@Constants@RBX@@0QBMB
0x10246f4c,global,?MAX_LEGO_JOINT_FORCES_MEASURED@Constants@RBX@@0QBMB
0x10246ff0,global,?luaO_nilobject_@@3Ulua_TValue@@B
0x10247158,global,?luaT_typenames@@3QBQBDB
0x10247770,global,?luaP_opnames@@3QBQBDB
