address,size,type,symbol
0x1013e2d0,0x100,library,_jpeg_resync_to_restart
0x1013e400,0x7b,library,_jinit_marker_reader
0x1013e480,0x39,library,_jpeg_abort
0x1013e4c0,0x21,library,_jpeg_destroy
0x1013e4f0,0x1e,library,_jpeg_alloc_quant_table
0x1013e510,0x1e,library,_jpeg_alloc_huff_table
0x101411e0,0xf2,library,_jpeg_CreateDecompress
0x101412e0,0x5,library,_jpeg_destroy_compress
0x101414c0,0xc3,library,_jpeg_consume_input
0x10141590,0xc8,library,_jpeg_finish_decompress
0x10141660,0x76,library,_jpeg_read_header
0x101417b0,0x98,library,_jpeg_read_scanlines
0x10141850,0xd3,library,_jpeg_start_decompress
0x10141ac0,0x4c,library,_jpeg_std_error
0x10149580,0xc9,library,_jpeg_CreateCompress
0x10149650,0x68,library,_jpeg_suppress_tables
0x101496c0,0x113,library,_jpeg_finish_compress
0x101497e0,0x7a,library,_jpeg_start_compress
0x10149860,0xc1,library,_jpeg_write_scanlines
0x10149930,0x1cd,library,_jpeg_add_quant_table
0x10149b00,0x34,library,_jpeg_set_linear_quality
0x10149b40,0x38,library,_jpeg_quality_scaling
0x10149b80,0x21,library,_jpeg_set_quality
0x10149cc0,0x2e4,library,_jpeg_set_colorspace
0x10149fb0,0x7c,library,_jpeg_default_colorspace
0x1014a030,0xfd,library,_jpeg_set_defaults
0x1014d4e0,0x10,library,_jdiv_round_up
0x1014d4f0,0x18,library,_jround_up
0x1014d510,0x47,library,_jcopy_sample_rows
0x1014d560,0x1b,library,_jcopy_block_row
0x1014d580,0x15,library,_jzero_far
0x10151ef0,0x43,library,_jinit_input_controller
0x10152a30,0x126,library,_jinit_memory_mgr
0x10152be0,0x228,library,_jpeg_calc_output_dimensions
0x10153210,0x32,library,_jinit_master_decompress
0x101572a0,0x53,library,_jinit_marker_writer
0x10157300,0xb5,library,_jinit_compress_master
0x101573c0,0xf,library,_jpeg_get_large
0x101573d0,0xd,library,_jpeg_free_large
0x101573e0,0xf,library,_jpeg_mem_available
0x101574e0,0x53,library,_jpeg_open_backing_store
0x10157540,0x6,library,_jpeg_mem_init
0x10157b40,0xd3,library,_jinit_d_main_controller
0x10158a50,0x149,library,_jinit_d_coef_controller
0x10158ba0,0x2d4,library,_jpeg_make_d_derived_tbl
0x10158e80,0x12b,library,_jpeg_fill_bit_buffer
0x10158fb0,0xe2,library,_jpeg_huff_decode
0x10159690,0x46,library,_jinit_huff_decoder
0x1015a360,0x6e,library,_jinit_phuff_decoder
0x1015a6f0,0x71,library,_jinit_inverse_dct
0x1015aa40,0x93,library,_jinit_d_post_controller
0x1015afb0,0x1ee,library,_jinit_upsampler
0x1015b620,0x184,library,_jinit_color_deconverter
0x1015bd20,0x80,library,_jinit_merged_upsampler
0x1015d010,0x142,library,_jinit_2pass_quantizer
0x1015dce0,0x96,library,_jinit_1pass_quantizer
0x1015de80,0x8e,library,_jinit_c_main_controller
0x1015e640,0x102,library,_jinit_c_coef_controller
0x1015e750,0x215,library,_jpeg_make_c_derived_tbl
0x1015f090,0x2c2,library,_jpeg_gen_optimal_table
0x1015f5e0,0x54,library,_jinit_huff_encoder
0x10160170,0x3f,library,_jinit_phuff_encoder
0x10161040,0x92,library,_jinit_forward_dct
0x101615e0,0xae,library,_jinit_c_prep_controller
0x10161e80,0x17b,library,_jinit_downsampler
0x101624e0,0x22c,library,_jinit_color_converter
0x10163200,0xaf,library,_jinit_c_master_control
0x101632b0,0x51c,library,_jpeg_idct_islow
0x101637d0,0x3d9,library,_jpeg_idct_ifast
0x10163bb0,0x542,library,_jpeg_idct_float
0x10164100,0x319,library,_jpeg_idct_4x4
0x10164420,0x470,library,_jpeg_idct_2x2
0x10164890,0x3b,library,_jpeg_idct_1x1
0x101648d0,0x312,library,_jpeg_fdct_islow
0x10164bf0,0x6cc,library,_jpeg_fdct_ifast
0x101652c0,0x32f,library,_jpeg_fdct_float
