address,size,type,symbol
0x1013e530,0x1c5,library,_png_write_info_before_PLTE
0x1013e700,0x2d4,library,_png_write_info
0x1013e9e0,0x15d,library,_png_write_end
0x1013eb40,0x248,library,_png_write_row
0x1013ed90,0xd2,library,_png_write_flush
0x1013ee70,0x11e,library,_png_write_destroy
0x1013ef90,0x310,library,_png_set_filter_heuristics
0x1013f2a0,0x1d5,library,_png_create_write_struct_2
0x1013f480,0x59,library,_png_write_image
0x1013f4e0,0x9f,library,_png_destroy_write_struct
0x1013f580,0x23,library,_png_create_write_struct
0x1013f5b0,0x2b,library,_png_set_bKGD
0x1013f5e0,0x33b,library,_png_set_cHRM
0x1013f920,0x1e8,library,_png_set_cHRM_fixed
0x1013fb10,0x79,library,_png_set_gAMA
0x1013fb90,0x76,library,_png_set_gAMA_fixed
0x1013fc10,0xb1,library,_png_set_hIST
0x1013fcd0,0x226,library,_png_set_IHDR
0x1013ff00,0x2c,library,_png_set_oFFs
0x1013ff30,0x195,library,_png_set_pCAL
0x101400d0,0x35,library,_png_set_sCAL
0x10140110,0x2c,library,_png_set_pHYs
0x10140140,0x81,library,_png_set_PLTE
0x101401d0,0x23,library,_png_set_sBIT
0x10140200,0x1e,library,_png_set_sRGB
0x10140220,0xd3,library,_png_set_sRGB_gAMA_and_cHRM
0x10140300,0xfb,library,_png_set_iCCP
0x10140400,0x1ef,library,_png_set_text_2
0x101405f0,0x2f,library,_png_set_tIME
0x10140620,0x8f,library,_png_set_tRNS
0x101406b0,0x13e,library,_png_set_sPLT
0x101407f0,0x137,library,_png_set_unknown_chunks
0x10140930,0x20,library,_png_write_data
0x10140950,0x34,library,_png_default_write_data
0x10140990,0x15,library,_png_flush
0x101409b0,0x16,library,_png_default_flush
0x101409d0,0x62,library,_png_set_write_fn
0x10140a40,0x129,library,_png_sig_cmp
0x10140b70,0x4f,library,_png_zalloc
0x10140bc0,0x5,library,_png_zfree
0x10140bd0,0x16,library,_png_reset_crc
0x10140bf0,0x46,library,_png_calculate_crc
0x10140c40,0x35,library,_png_info_init_3
0x10140c80,0x3a2,library,_png_free_data
0x10141030,0x5b,library,_png_info_destroy
0x10141090,0xe9,library,_png_handle_as_unknown
0x10141180,0x19,library,_png_init_mmx_flags
0x101411a0,0x40,library,_png_create_info_struct
0x10141b10,0x25c,library,_png_create_read_struct_2
0x10141d70,0xf9f,library,_png_read_info
0x10142d10,0x42,library,_png_read_update_info
0x10142d60,0x4f8,library,_png_read_row
0x10143260,0x9a,library,_png_read_rows
0x10143300,0xe64,library,_png_read_end
0x10144170,0x285,library,_png_read_destroy
0x10144400,0x23,library,_png_create_read_struct
0x10144430,0xb7,library,_png_destroy_read_struct
0x101444f0,0x15,library,_png_set_swap
0x10144510,0x19,library,_png_set_packing
0x10144530,0x1d,library,_png_set_interlace_handling
0x10144550,0x8b,library,_png_do_invert
0x101445e0,0x34,library,_png_do_swap
0x10144620,0x51,library,_png_do_packswap
0x10144680,0x286,library,_png_do_strip_filler
0x10144910,0xe6,library,_png_do_bgr
0x10144a00,0xc,library,_png_set_strip_16
0x10144a10,0xc,library,_png_set_gray_1_2_4_to_8
0x10144a20,0x19c,library,_png_read_transform_info
0x10144bc0,0x13e,library,_png_do_unpack
0x10144d00,0x1d3,library,_png_do_unshift
0x10144ee0,0x4d,library,_png_do_chop
0x10144f30,0x17f,library,_png_do_read_swap_alpha
0x101450b0,0xd1,library,_png_do_read_invert_alpha
0x10145190,0x319,library,_png_do_read_filler
0x101454b0,0x1b5,library,_png_do_gray_to_rgb
0x10145670,0x6f4,library,_png_do_rgb_to_gray
0x10145d70,0xffc,library,_png_do_background
0x10146d70,0x3b4,library,_png_do_gamma
0x10147130,0x248,library,_png_do_expand_palette
0x10147380,0x3fb,library,_png_do_expand
0x10147780,0x16e,library,_png_do_dither
0x101478f0,0x719,library,_png_build_gamma_table
0x10148010,0xc9,library,_png_do_read_intrapixel
0x101480e0,0xc04,library,_png_init_read_transformations
0x10148cf0,0x499,library,_png_do_read_transformations
0x10149190,0x1a,library,_png_get_valid
0x101491b0,0x11e,library,_png_get_IHDR
0x101492d0,0x20,library,_png_read_data
0x101492f0,0x34,library,_png_default_read_data
0x10149330,0x52,library,_png_set_read_fn
0x1014d820,0x23,library,_png_save_uint_32
0x1014d850,0x23,library,_png_save_int_32
0x1014d880,0x13,library,_png_save_uint_16
0x1014d8a0,0x46,library,_png_write_chunk_start
0x1014d8f0,0x2e,library,_png_write_chunk_data
0x1014d920,0x28,library,_png_write_chunk_end
0x1014d950,0x78,library,_png_write_sig
0x1014dd20,0xb3,library,_png_write_PLTE
0x1014dde0,0x79,library,_png_write_hIST
0x1014de60,0x20b,library,_png_check_keyword
0x1014e070,0xa8,library,_png_write_tEXt
0x1014e120,0xfd,library,_png_write_zTXt
0x1014e220,0x1af,library,_png_write_pCAL
0x1014e3d0,0xf7,library,_png_write_sCAL
0x1014e4d0,0x1a7,library,_png_write_start_row
0x1014e680,0x23c,library,_png_do_write_interlace
0x1014e8c0,0x2e,library,_png_write_chunk
0x1014e8f0,0x374,library,_png_write_IHDR
0x1014ec70,0x10e,library,_png_write_IDAT
0x1014ed80,0x1d,library,_png_write_IEND
0x1014eda0,0x56,library,_png_write_gAMA
0x1014ee00,0x39,library,_png_write_sRGB
0x1014ee40,0xd0,library,_png_write_iCCP
0x1014ef10,0x196,library,_png_write_sPLT
0x1014f0b0,0xc0,library,_png_write_sBIT
0x1014f170,0x42b,library,_png_write_cHRM
0x1014f5a0,0x150,library,_png_write_tRNS
0x1014f6f0,0x183,library,_png_write_bKGD
0x1014f880,0x73,library,_png_write_oFFs
0x1014f900,0x73,library,_png_write_pHYs
0x1014f980,0xb2,library,_png_write_tIME
0x1014fa40,0x1cd,library,_png_write_finish_row
0x1014fc10,0xd1,library,_png_write_filtered_row
0x1014fcf0,0xbbe,library,_png_write_find_filter
0x10150be0,0x1a,library,_png_set_error_fn
0x10150c00,0xa7,library,_png_error
0x10150cb0,0x54,library,_png_warning
0x10150d10,0x30,library,_png_chunk_error
0x10150d40,0x3f,library,_png_chunk_warning
0x10150d80,0x132,library,_png_do_pack
0x10150ec0,0x28f,library,_png_do_shift
0x10151150,0x16e,library,_png_do_write_swap_alpha
0x101512c0,0x159,library,_png_do_write_invert_alpha
0x10151420,0xc9,library,_png_do_write_intrapixel
0x101514f0,0x16c,library,_png_do_write_transformations
0x10151660,0xa5,library,_png_create_struct_2
0x10151710,0x76,library,_png_destroy_struct_2
0x10151790,0x1d,library,_png_malloc_default
0x101517b0,0x18,library,_png_free_default
0x101517d0,0x18,library,_png_memcpy_check
0x101517f0,0x18,library,_png_memset_check
0x10151810,0x23,library,_png_set_mem_fn
0x10151840,0x12,library,_png_create_struct
0x10151860,0x12,library,_png_destroy_struct
0x10151880,0x50,library,_png_malloc
0x101518d0,0x2a,library,_png_free
0x10151900,0x27,library,_png_malloc_warn
0x10153250,0x23,library,_png_get_int_32
0x10153280,0x15,library,_png_get_uint_16
0x101532a0,0x26,library,_png_crc_read
0x101532d0,0x66,library,_png_crc_error
0x10153340,0x384,library,_png_decompress_chunk
0x101536d0,0x5d,library,_png_check_chunk_name
0x10153730,0x2fc,library,_png_combine_row
0x10153a30,0x42b,library,_png_do_read_interlace
0x10153e60,0x1f4,library,_png_read_filter_row
0x10154060,0x2bd,library,_png_read_start_row
