address,type,name
0x100a8b60,library,luaA_pushobject
0x100a8b90,library,lua_checkstack
0x100a8bf0,library,lua_xmove
0x100a8c40,library,lua_atpanic
0x100a8c60,library,lua_gettop
0x100a8c70,library,lua_settop
0x100a8cc0,library,lua_remove
0x100a8d10,library,lua_insert
0x100a8d60,library,lua_replace
0x100a8e20,library,lua_pushvalue
0x100a8e50,library,lua_type
0x100a8e70,library,lua_typename
0x100a8e90,library,lua_iscfunction
0x100a8ec0,library,lua_isnumber
0x100a8f00,library,lua_isstring
0x100a8f30,library,lua_rawequal
0x100a8f70,library,lua_lessthan
0x100a8fb0,library,lua_tonumber
0x100a8ff0,library,lua_tointeger
0x100a9030,library,lua_toboolean
0x100a9060,library,lua_tolstring
0x100a90d0,library,lua_objlen
0x100a9140,library,lua_tocfunction
0x100a9170,library,lua_touserdata
0x100a91a0,library,lua_tothread
0x100a91c0,library,lua_topointer
0x100a9230,library,lua_pushnil
0x100a9250,library,lua_pushnumber
0x100a9270,library,lua_pushinteger
0x100a9290,library,lua_pushlstring
0x100a92d0,library,lua_pushstring
0x100a9340,library,lua_pushvfstring
0x100a9370,library,lua_pushfstring
0x100a93a0,library,lua_pushcclosure
0x100a9440,library,lua_pushboolean
0x100a9460,library,lua_pushlightuserdata
0x100a9480,library,lua_pushthread
0x100a94b0,library,lua_gettable
0x100a94e0,library,lua_getfield
0x100a9540,library,lua_rawget
0x100a9580,library,lua_rawgeti
0x100a95c0,library,lua_createtable
0x100a9600,library,lua_getmetatable
0x100a9660,library,lua_getfenv
0x100a96d0,library,lua_settable
0x100a9700,library,lua_setfield
0x100a9760,library,lua_rawset
0x100a97d0,library,lua_rawseti
0x100a9840,library,lua_setmetatable
0x100a98f0,library,lua_setfenv
0x100a9970,library,lua_call
0x100a99d0,library,lua_pcall
0x100a9a40,library,lua_load
0x100a9a80,library,lua_dump
0x100a9ac0,library,lua_status
0x100a9ad0,library,lua_gc
0x100a9bc0,library,lua_error
0x100a9bd0,library,lua_next
0x100a9c10,library,lua_concat
0x100a9c90,library,lua_newuserdata
0x100a9cf0,library,lua_getupvalue
0x100a9d80,library,lua_setupvalue
0x100a9e30,library,boost::detail::shared_count::shared_count<int>
0x100a9ec0,library,boost::detail::sp_counted_impl_p<int>::dispose
0x100a9ed0,library,boost::shared_ptr<int>::reset<int>
0x100a9f40,library,RobloxExtraSpace::RobloxExtraSpace
0x100a9fe0,library,RobloxExtraSpace::construct
0x100aa040,library,lua_newthread
0x100aa090,library,luaL_where
0x100aa100,library,luaL_error
0x100aa130,library,luaL_newmetatable
0x100aa190,library,luaL_checkstack
0x100aa1c0,library,luaL_getmetafield
0x100aa220,library,luaL_callmeta
0x100aa280,library,luaL_findtable
0x100aa3f0,library,luaL_prepbuffer
0x100aa430,library,luaL_addlstring
0x100aa490,library,luaL_pushresult
0x100aa4d0,library,luaL_addvalue
0x100aa560,library,luaL_buffinit
0x100aa580,library,luaL_ref
0x100aa630,library,luaL_unref
0x100aa740,library,luaL_loadfile
0x100aa970,library,luaL_loadbuffer
