address,size,type,symbol,name
0x10001740,0x5,library,??1?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@QAE@XZ,
0x10001750,0x21,library,?size@?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@QBEIXZ,
0x10001780,0x47,library,?_Tidy@?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@IAEXXZ,
0x10001800,0x154,library,?_Growmap@?$deque@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@IAEXI@Z,
0x10001960,0x24,library,?_Destroy@?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@IAEXPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@2@0@Z,
0x10001990,0x19,library,??0length_error@std@@QAE@ABV01@@Z,
0x100019b0,0x66,library,?_Xlen@?$deque@UStandardOutMessage@RBX@@V?$allocator@UStandardOutMessage@RBX@@@std@@@std@@KAXXZ,
0x10001a20,0x62,library,??$_Allocate@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@YAPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@IPAV10@@Z,
0x10001a90,0xe,library,?what@logic_error@std@@UBEPBDXZ,
0x10001aa0,0xc,library,??1bad_alloc@std@@UAE@XZ,
0x10001ab0,0x25,library,??_Ebad_alloc@std@@UAEPAXI@Z,
0x10001ae0,0x1a,library,??0bad_alloc@std@@QAE@ABV01@@Z,
0x10001b00,0x30,library,??_Elength_error@std@@UAEPAXI@Z,
0x10001b30,0x1b,library,??1length_error@std@@UAE@XZ,
0x10001b50,0x5f,library,??0logic_error@std@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@@Z,
0x10001bb0,0x65,library,??0logic_error@std@@QAE@ABV01@@Z,
0x100037d0,0xaa,library,?push_back@?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@QAEXABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@2@@Z,
0x10003880,0x5,library,??1?$list@U_WIN32_FIND_DATAA@@V?$allocator@U_WIN32_FIND_DATAA@@@std@@@std@@QAE@XZ,
0x10003a40,0xbc,library,?insert@?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@QAE?AV?$_Vector_iterator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@V32@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@2@@Z,
0x10003b00,0x3c,library,?_Ufill@?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@IAEPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@2@PAV32@IABV32@@Z,
0x10003b40,0x1a,library,?_Buynode@?$list@U_WIN32_FIND_DATAA@@V?$allocator@U_WIN32_FIND_DATAA@@@std@@@std@@IAEPAU_Node@?$_List_nod@U_WIN32_FIND_DATAA@@V?$allocator@U_WIN32_FIND_DATAA@@@std@@@2@XZ,
0x10003b60,0x47,library,?_Tidy@?$list@U_WIN32_FIND_DATAA@@V?$allocator@U_WIN32_FIND_DATAA@@@std@@@std@@IAEXXZ,
0x10003bd0,0x33b,library,?_Insert_n@?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@IAEXV?$_Vector_iterator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@IABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@2@@Z,
0x10003f10,0x66,library,?_Xlen@?$vector@PAV?$Listener@VStandardOut@RBX@@UStandardOutMessage@2@@RBX@@V?$allocator@PAV?$Listener@VStandardOut@RBX@@UStandardOutMessage@2@@RBX@@@std@@@std@@KAXXZ,
0x10003f80,0x3a,library,?_Buynode@?$list@U_WIN32_FIND_DATAA@@V?$allocator@U_WIN32_FIND_DATAA@@@std@@@std@@IAEPAU_Node@?$_List_nod@U_WIN32_FIND_DATAA@@V?$allocator@U_WIN32_FIND_DATAA@@@std@@@2@PAU342@0ABU_WIN32_FIND_DATAA@@@Z,
0x10003fc0,0x84,library,?_Incsize@?$list@U_WIN32_FIND_DATAA@@V?$allocator@U_WIN32_FIND_DATAA@@@std@@@std@@IAEXI@Z,
0x100040f0,0x29,library,??$_Umove@PAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@IAEPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@PAV21@00@Z,
0x10004120,0x27,library,??$fill@PAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@std@@YAXPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@0ABV10@@Z,
0x10004150,0x2b,library,??$_Unchecked_move_backward@PAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PAV12@@stdext@@YAPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PAV12@00@Z,
0x10004180,0x51,library,??$_Allocate@U_Node@?$_List_nod@U_WIN32_FIND_DATAA@@V?$allocator@U_WIN32_FIND_DATAA@@@std@@@std@@@std@@YAPAU_Node@?$_List_nod@U_WIN32_FIND_DATAA@@V?$allocator@U_WIN32_FIND_DATAA@@@std@@@0@IPAU120@@Z,
0x100041e0,0x78,library,??$_Find_if@V?$_Iterator@$0A@@?$list@U_WIN32_FIND_DATAA@@V?$allocator@U_WIN32_FIND_DATAA@@@std@@@std@@UDateCompare@@@std@@YA?AV?$_Iterator@$0A@@?$list@U_WIN32_FIND_DATAA@@V?$allocator@U_WIN32_FIND_DATAA@@@std@@@0@V120@0UDateCompare@@@Z,
