address,type,x-text
0x1022cf40,string,Fonts/comics.fnt
0x1022cfec,string,Exception caught in onEvent. %s
0x1022d02c,string,rbx_thread
0x1022d038,string,Crashed via C++ exception in run_in_background:
0x1022d0f8,string,ftp
0x1022d0fc,string,gopher
0x1022d104,string,http
0x1022d10c,string,https
0x1022d114,string,file
0x1022d11c,string,news
0x1022d124,string,mailto
0x1022d12c,string,socks
0x1022d134,string,"%s, %s"
0x1022d13c,string,"%s, err=0x%X"
0x1022d1cc,string,no read access
0x1022d1dc,string,no random access
0x1022d1f0,string,putback buffer full
0x1022d204,string,no write access
0x1022d214,string,InternetReadFile failed
0x1022d22c,string,already open
0x1022d3e8,string,chain complete
0x1022d404,string,gzip error
0x1022d410,string,jscript:
0x1022d41c,string,javascript:
0x1022d428,string,roblox.com
0x1022d434,string,googlesyndication.com
0x1022d44c,string,res:
0x1022d454,string,about:blank
0x1022d460,string,Software/Roblox
0x1022d470,string,SkipTrustCheck
0x1022d480,string,Software/ROBLOX Corporation/Roblox
0x1022d568,string,HttpQueryInfo failed
0x1022d580,string,HttpSendRequest failed
0x1022d598,string,Roblox
0x1022d5a0,string,trust check failed for %s
0x1022d5f4,string,"Upload GZip error %d, ZLib error %d, '%s'"
0x1022d620,string,"ZLib error %d, '%s'"
0x1022d634,string,"GZip error %d, ZLib error %d, '%s'"
0x1022d658,string,statusCode = %d
0x1022d668,string,gzip
0x1022d670,string,HttpEndRequest failed
0x1022d688,string,Failed to upload content
0x1022d6a4,string,InternetWriteFile failed
0x1022d6c0,string,HttpSendRequestEx failed
0x1022d6dc,string,Roblox-Content-Hash: %s
0x1022d6f8,string,Roblox-Content-Last: %d
0x1022d714,string,Roblox-Content-First: %d
0x1022d730,string,Roblox-Content-Size: %d
0x1022d74c,string,Content-Encoding: gzip
0x1022d768,string,Accept-Encoding: gzip
0x1022d780,string,HttpAddRequestHeaders failed
0x1022d7a0,string,HttpOpenRequest failed for %s
0x1022d7c0,string,'%s' is missing a hostName
0x1022d7dc,string,empty url
0x1022d7e8,string,"httpGet failed, trying again"
0x1022d808,string,RBX
0x1022d80c,string,%d
0x1022d810,string,%s_%d
0x1022d820,string,%dGB
0x1022d828,string,%dMB
0x1022d830,string,%dKB
0x1022d838,string,%dB
0x1022d83c,string,%.3gms
0x1022d858,string,%.3gs
0x1022d860,string,0s
0x1022d864,string,%02u:%02u.%03u
0x1022d874,string,%02u.%02u.%u
0x1022d884,string,Log '
0x1022d88c,string,'
0x1022d898,string,End Log
0x1022d8a4,string,Error:
0x1022d8b0,string,Warning:
0x1022d8bc,string,
0x1022d8e8,string,SHGetKnownFolderPath
0x1022d900,string,Shell32.dll
0x1022d90c,string,Roblox/
0x1022d914,string,/Roblox/
0x1022d920,widechar,{F1B32785-6FBA-4FCF-9D55-7B8E7F157091}
0x1022d970,widechar,{A520A1A4-1780-4FF6-BD18-167343C5AF16}
0x1022d9c0,string,Roblox/Cache
0x1022d9d0,widechar,{352481E8-33BE-4251-BA85-6007CAEDCF9D
0x1022dae4,string,Object
0x1022daec,string,Instance
0x1022daf8,string,Objects
0x1022db00,string,bool
0x1022db08,string,Content
0x1022db10,string,Vector3
0x1022db18,string,Color3
0x1022db20,string,Table
0x1022db28,string,Unable to cast value to Objects
0x1022db48,string,Unable to cast value to ValueCollection
0x1022db70,string,BrickColor
0x1022db8c,string,Unable to cast %s to %s
0x1022dba4,string,Unable to cast value to std::string
0x1022dbc8,string,Unable to cast value to Object
0x1022dbe8,string,Left
0x1022dbf0,string,Right
0x1022dbf8,string,Front
0x1022dc00,string,Back
0x1022dc08,string,Bottom
0x1022dc10,string,Top
0x1022dc1c,string,NormalId
0x1022dc40,string,bad lexical cast: source type value could not be interpreted as target
0x1022de00,string,not-a-date-time
0x1022de10,string,-infinity
0x1022de1c,string,+infinity
0x1022de28,string,:
0x1022e054,string,Lighting
0x1022e06c,string,14:00:00
0x1022e160,string,LightingChanged
0x1022e170,string,skyboxChanged
0x1022e180,string,TopAmbientV9
0x1022e190,string,Appearance
0x1022e19c,string,BottomAmbientV9
0x1022e1ac,string,SpotLightV9
0x1022e1b8,string,ClearColor
0x1022e1c4,string,TimeOfDay
