address,size,symbol,name
0x10001070,0x59,??0Http@RBX@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x10001100,0x250,?Upload@ErrorUploader@@QAEXV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@_N@Z,
0x10001df0,0xa1,?GetLogPath@LogManager@@QBE?AV?$CPathT@V?$CStringT@DV?$StrTraitATL@DV?$ChTraitsCRT@D@ATL@@@ATL@@@ATL@@@ATL@@XZ,
0x10001ea0,0x12b,?getLogFileName@MainLogManager@@UAE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,
0x10001fd0,0xe6,?getLogFileName@ThreadLogManager@@MAE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,
0x100026d0,0x13f,?MoveRelative@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PBDV12@@Z,
0x10002840,0x3b6,?archiveCrashLogs@MainLogManager@@QAE?AV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@XZ,
0x10003100,0xe2,?handleDebugAssert@MainLogManager@@CA_NPBDABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@0HAA_N_N@Z,
0x100031f0,0xec,?handleG3DFailure@MainLogManager@@CA_NPBDABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@0HAA_N_N@Z,
0x100063d0,0x9a,??1?$BoundFuncDesc@VThumbnailGenerator@@$$A6A?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@0HH@Z$03@Reflection@RBX@@UAE@XZ,
0x10006900,0x22,?joystickName@OSContext@@UAE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@I@Z,
0x10006af0,0x55e,?clickTexture@ThumbnailGenerator@@QAE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@0HH@Z,
0x10007170,0x2f4,?click@ThumbnailGenerator@@QAE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@HH_N@Z,
0x10007470,0x446,?doClick@ThumbnailGenerator@@QAEXV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@HH_NPAVBinaryOutput@G3D@@@Z,
0x10007a60,0xb7,?create@Creator@?$FactoryProduct@VThumbnailGenerator@@VInstance@RBX@@$1?sThumbnailGenerator@@3QBDB@RBX@@UBE?AV?$shared_ptr@VObject@RBX@@@boost@@XZ,
0x10007ca0,0xbb,?create@Creator@?$FactoryProduct@VModelInstance@RBX@@VPVInstance@2@$1?sModel@2@3PADA@RBX@@UBE?AV?$shared_ptr@VObject@RBX@@@boost@@XZ,
0x100080a0,0xbd,??0?$BoundFuncDesc@VThumbnailGenerator@@$$A6A?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@HH_N@Z$03@Reflection@RBX@@QAE@P8ThumbnailGenerator@@AE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V45@HH_N@ZPBD3333W4Security@FunctionDescriptor@12@@Z,
0x10008160,0x1c0,?execute@?$BoundFuncDesc@VThumbnailGenerator@@$$A6A?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@HH_N@Z$03@Reflection@RBX@@UBEXPAVDescribedBase@23@AAVArguments@FunctionDescriptor@23@@Z,
0x10008320,0xbd,??0?$BoundFuncDesc@VThumbnailGenerator@@$$A6A?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@0HH@Z$03@Reflection@RBX@@QAE@P8ThumbnailGenerator@@AE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V45@0HH@ZPBD2222W4Security@FunctionDescriptor@12@@Z,
0x100083e0,0x1c0,?execute@?$BoundFuncDesc@VThumbnailGenerator@@$$A6A?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@0HH@Z$03@Reflection@RBX@@UBEXPAVDescribedBase@23@AAVArguments@FunctionDescriptor@23@@Z,
0x100086d0,0x1f,??_E?$BoundFuncDesc@VThumbnailGenerator@@$$A6A?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@0HH@Z$03@Reflection@RBX@@UAEPAXI@Z,
0x10008880,0x9f,?declareSignature@?$BoundFuncDesc@VThumbnailGenerator@@$$A6A?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@HH_N@Z$03@Reflection@RBX@@AAEXPBD000@Z,
0x10008920,0x9f,?declareSignature@?$BoundFuncDesc@VThumbnailGenerator@@$$A6A?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@0HH@Z$03@Reflection@RBX@@AAEXPBD000@Z,
0x10008e70,0x325,??$put@V?$_String_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$ostreambuf_iterator@DU?$char_traits@D@std@@@2@HUnoline@?$base64@DU?$char_traits@D@std@@@@@?$base64@DU?$char_traits@D@std@@@@QBE?AV?$_String_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@0V?$ostreambuf_iterator@DU?$char_traits@D@std@@@2@AAHUnoline@0@@Z,
0x10009240,0x178,??$shared_from@VDataModel@RBX@@@RBX@@YA?AV?$shared_ptr@VDataModel@RBX@@@boost@@PAVDataModel@0@@Z,
0x100093c0,0x82,??$create@VThumbnailGenerator@@@?$Creatable@VInstance@RBX@@@RBX@@SA?AV?$shared_ptr@VThumbnailGenerator@@@boost@@XZ,
0x10009570,0x88,??$create@VModelInstance@RBX@@@?$Creatable@VInstance@RBX@@@RBX@@SA?AV?$shared_ptr@VModelInstance@RBX@@@boost@@XZ,
0x10009840,0xcb,??$call@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@?$BoundFuncDesc@VThumbnailGenerator@@$$A6A?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@HH_N@Z$03@Reflection@RBX@@ABEXPAVThumbnailGenerator@@AAVValue@12@1111@Z,
0x10009910,0xe7,??$call@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@?$BoundFuncDesc@VThumbnailGenerator@@$$A6A?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V23@0HH@Z$03@Reflection@RBX@@ABEXPAVThumbnailGenerator@@AAVValue@12@1111@Z,
0x10009a60,0x8e,?getCreators@?$AbstractFactoryProduct@VInstance@RBX@@@RBX@@KAAAV?$map@PBVName@RBX@@PBVICreator@2@U?$less@PBVName@RBX@@@std@@V?$allocator@U?$pair@QBVName@RBX@@PBVICreator@2@@std@@@5@@std@@XZ,
0x1000b060,0x38,??$?4V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Value@Reflection@RBX@@QAEAAV012@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x1000df80,0x23,?GenerateAppError@CWebService@Roblox@@MAEJPAUIWriteStream@ATL@@J@Z,
0x1000fdf0,0xbb,?create@Creator@?$FactoryProduct@VSoundService@Soundscape@RBX@@VInstance@3@$1?sSoundService@23@3PADA@RBX@@UBE?AV?$shared_ptr@VObject@RBX@@@boost@@XZ,
0x1000feb0,0xbb,?create@Creator@?$FactoryProduct@VSoundChannel@Soundscape@RBX@@VInstance@3@$1?sSoundChannel@23@3PADA@RBX@@UBE?AV?$shared_ptr@VObject@RBX@@@boost@@XZ,
0x10019c70,0x86,??$create@VSoundService@Soundscape@RBX@@@?$Creatable@VInstance@RBX@@@RBX@@SA?AV?$shared_ptr@VSoundService@Soundscape@RBX@@@boost@@XZ,
0x10019d00,0x86,??$create@VSoundChannel@Soundscape@RBX@@@?$Creatable@VInstance@RBX@@@RBX@@SA?AV?$shared_ptr@VSoundChannel@Soundscape@RBX@@@boost@@XZ,
0x1001c340,0xc4,??$get@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Value@Reflection@RBX@@QBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,
0x1001c410,0x12,??$isType@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Value@Reflection@RBX@@QBE_NXZ,
0x10030c90,0x14,?getViewport@AdornG3D@RBX@@UBE?AVRect2D@G3D@@XZ,
0x10030cd0,0x5b,?rect2d@AdornG3D@RBX@@UBEXABVRect2D@G3D@@ABVColor4@4@@Z,
0x10030d30,0x63,?outlineRect2d@AdornG3D@RBX@@UBEXABVRect2D@G3D@@MABVColor4@4@@Z,
0x10030dd0,0x26,?box@AdornG3D@RBX@@UAEXABVAABox@G3D@@ABVColor4@4@1@Z,
0x10030e00,0x2c,?sphere@AdornG3D@RBX@@UAEXABVSphere@G3D@@ABVColor4@4@1@Z,
0x10030e30,0x7,?explosion@AdornG3D@RBX@@UAEXABVSphere@G3D@@ABVColor4@4@1@Z,
0x10030e80,0x21,?ray@AdornG3D@RBX@@UAEXABVRay@G3D@@ABVColor4@4@M@Z,
0x10030eb0,0x21,?lineSegment@AdornG3D@RBX@@UAEXABVLineSegment@G3D@@ABVColor4@4@M@Z,
0x10030fd0,0x6f,??0TextureProxy@Render@RBX@@QAE@AAVTextureManager@G3D@@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@_N@Z,
0x10031130,0x122,?getTextureSize@AdornG3D@RBX@@UBE?AVRect2D@G3D@@V?$ReferenceCountedPointer@VTextureProxyBase@RBX@@@4@@Z,
0x10031300,0x98,?get2DStringBounds@AdornG3D@RBX@@UBE?AVVector2@G3D@@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@NW4Spacing@Adorn@2@@Z,
0x100313a0,0xb8,?drawFont2D@AdornG3D@RBX@@UBE?AVVector2@G3D@@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@ABV34@NABVColor4@4@2W4XAlign@Adorn@2@W4YAlign@92@W4Spacing@92@@Z,
0x10031460,0x7f,?createTextureProxy@AdornG3D@RBX@@UAE?AV?$ReferenceCountedPointer@VTextureProxyBase@RBX@@@G3D@@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x100316a0,0x11e,?rawBox@DrawPrimitives@RBX@@SAXABVAABox@G3D@@PAVRenderDevice@4@@Z,
0x100317c0,0x16f,?outlineRect2d@DrawPrimitives@RBX@@SAXABVRect@2@MPAVRenderDevice@G3D@@ABVColor4@5@@Z,
0x10031a60,0x82,?rect2d@DrawPrimitives@RBX@@SAXABVRect@2@PAVRenderDevice@G3D@@ABVColor4@5@@Z,
